
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:62082        127.0.0.1:49670        ESTABLISHED     3420
  TCP    127.0.0.1:62083        127.0.0.1:49669        ESTABLISHED     3420
  TCP    127.0.0.1:62094        127.0.0.1:53133        ESTABLISHED     21396
  TCP    127.0.0.1:65444        0.0.0.0:0              LISTENING       6092
  TCP    192.168.1.8:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.1.8:50449      140.82.114.26:443      ESTABLISHED     13516
  TCP    192.168.1.8:52555      140.82.113.21:443      ESTABLISHED     13516
  TCP    192.168.1.8:53627      192.168.1.17:8008      ESTABLISHED     6416
  TCP    192.168.1.8:53630      192.168.1.17:8009      ESTABLISHED     6416
  TCP    192.168.1.8:53636      103.10.125.22:27018    ESTABLISHED     13560
  TCP    192.168.1.8:53647      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:53649      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:53652      199.232.43.52:443      LAST_ACK        6416
  TCP    192.168.1.8:53653      23.42.41.235:443       CLOSE_WAIT      6416
  TCP    192.168.1.8:53661      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:53663      199.232.43.52:443      ESTABLISHED     6416
  TCP    192.168.1.8:55150      192.168.1.17:8009      ESTABLISHED     13516
  TCP    192.168.1.8:58227      13.222.45.32:443       ESTABLISHED     2200
  TCP    192.168.1.8:60796      4.237.22.38:443        ESTABLISHED     13516
  TCP    192.168.1.8:61592      13.89.179.14:443       ESTABLISHED     9056
  TCP    192.168.1.8:64321      199.232.43.52:443      ESTABLISHED     6416
  TCP    192.168.1.8:64329      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:64331      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:64332      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:64333      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:64337      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:64338      23.212.168.138:443     CLOSE_WAIT      6416
  TCP    192.168.1.8:64627      4.237.22.34:443        ESTABLISHED     13516
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1856
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       1596
  TCP    [::]:49665             [::]:0                 LISTENING       1420
  TCP    [::]:49666             [::]:0                 LISTENING       2112
  TCP    [::]:49667             [::]:0                 LISTENING       2976
  TCP    [::]:49668             [::]:0                 LISTENING       4204
  TCP    [::]:49674             [::]:0                 LISTENING       4824
  TCP    [::]:49675             [::]:0                 LISTENING       1540
  TCP    [::]:54235             [::]:0                 LISTENING       4
  TCP    [::1]:13337            [::]:0                 LISTENING       4912
  TCP    [::1]:42050            [::]:0                 LISTENING       9056
  TCP    [2407:7000:ab66:cb00:1198:ce9c:ff37:94e5]:53580  [2a06:98c1:3107::6812:2715]:443  ESTABLISHED     11392
  TCP    [2407:7000:ab66:cb00:1198:ce9c:ff37:94e5]:56151  [2a06:98c1:3107::6812:2715]:443  ESTABLISHED     13516
  TCP    [2407:7000:ab66:cb00:1198:ce9c:ff37:94e5]:61599  [2404:6800:4006:806::2003]:80  ESTABLISHED     4372
  TCP    [2407:7000:ab66:cb00:1198:ce9c:ff37:94e5]:61787  [2606:50c0:8000::154]:443  ESTABLISHED     13516
  TCP    [2407:7000:ab66:cb00:1198:ce9c:ff37:94e5]:64330  [2600:1415:5::1734:46b2]:443  CLOSE_WAIT      6416
  TCP    [2407:7000:ab66:cb00:4581:f3e:d633:2fbc]:59129  [2603:1030:210:f::1]:443  ESTABLISHED     4920
  UDP    0.0.0.0:123            *:*                                    12524
  UDP    0.0.0.0:500            *:*                                    4792
  UDP    0.0.0.0:3702           *:*                                    7892
  UDP    0.0.0.0:3702           *:*                                    9660
  UDP    0.0.0.0:3702           *:*                                    9660
  UDP    0.0.0.0:3702           *:*                                    7892
  UDP    0.0.0.0:4500           *:*                                    4792
  UDP    0.0.0.0:5050           *:*                                    11832
  UDP    0.0.0.0:5353           *:*                                    21100
  UDP    0.0.0.0:5353           *:*                                    9420
  UDP    0.0.0.0:5353           *:*                                    9420
  UDP    0.0.0.0:5353           *:*                                    13516
  UDP    0.0.0.0:5353           *:*                                    11392
  UDP    0.0.0.0:5353           *:*                                    11392
  UDP    0.0.0.0:5353           *:*                                    13516
  UDP    0.0.0.0:5353           *:*                                    9420
  UDP    0.0.0.0:5353           *:*                                    21100
  UDP    0.0.0.0:5353           *:*                                    13516
  UDP    0.0.0.0:5353           *:*                                    11392
  UDP    0.0.0.0:5353           *:*                                    11392
  UDP    0.0.0.0:5353           *:*                                    9420
  UDP    0.0.0.0:5353           *:*                                    21100
  UDP    0.0.0.0:5353           *:*                                    21100
  UDP    0.0.0.0:5353           *:*                                    13516
  UDP    0.0.0.0:5353           *:*                                    3052
  UDP    0.0.0.0:5355           *:*                                    3052
  UDP    0.0.0.0:27036          *:*                                    13560
  UDP    0.0.0.0:50814          *:*                                    4940
  UDP    0.0.0.0:52883          *:*                                    7892
  UDP    0.0.0.0:58352          *:*                                    4756
  UDP    0.0.0.0:61201          0.0.0.16:443                           13516
  UDP    0.0.0.0:61598          *:*                                    3052
  UDP    0.0.0.0:61706          172.64.155.209:443                     13516
  UDP    0.0.0.0:64229          0.0.32.14:443                          13516
  UDP    0.0.0.0:65263          *:*                                    9660
  UDP    127.0.0.1:1900         *:*                                    8216
