
Image Name                     PID Session Name        Session#    Mem Usage
RazerAppEngine.exe           12820 Console                    1     71,856 K
RzEngineMon.exe              12432 Console                    1      1,760 K
razer_elevation_service.e    15612 Services                   0     10,600 K
RazerAppEngine.exe            5020 Console                    1     56,360 K
RazerAppEngine.exe            4224 Console                    1     46,608 K
RazerAppEngine.exe           20688 Console                    1     64,016 K
RazerAppEngine.exe           20120 Console                    1     50,200 K
RazerAppEngine.exe            4072 Console                    1     51,844 K
RazerAppEngine.exe           11112 Console                    1     53,096 K
RazerAppEngine.exe           11504 Console                    1     54,812 K
svchost.exe                  13632 Services                   0      2,040 K
razerwdl.exe                 13484 Console                    1      4,192 K
SearchIndexer.exe             4480 Services                   0     40,840 K
RazerAppEngine.exe            3420 Console                    1     25,316 K
RazerAppEngine.exe           17568 Console                    1     10,004 K
svchost.exe                  22116 Services                   0     17,820 K
RzChromaStreamServer.exe     21940 Services                   0      2,060 K
svchost.exe                  21624 Services                   0      9,020 K
svchost.exe                  12524 Services                   0      2,872 K
svchost.exe                  22052 Services                   0     27,032 K
svchost.exe                   5636 Services                   0      7,104 K
svchost.exe                   2344 Console                    1      3,312 K
taskhostw.exe                12004 Console                    1     21,152 K
svchost.exe                   4368 Services                   0      3,552 K
svchost.exe                   5008 Console                    1      2,416 K
svchost.exe                   3792 Services                   0     15,628 K
dasHost.exe                  15652 Services                   0      1,568 K
ShellExperienceHost.exe      17352 Console                    1     34,428 K
RuntimeBroker.exe            13776 Console                    1     17,800 K
atiesrxx.exe                 16512 Services                   0      2,300 K
atieclxx.exe                 17324 Console                    1      7,420 K
svchost.exe                   9720 Services                   0      1,888 K
RazerAppEngine.exe            2492 Console                    1     71,276 K
svchost.exe                  16540 Services                   0      2,348 K
svchost.exe                  11436 Services                   0      2,640 K
svchost.exe                   3748 Services                   0      7,964 K
XboxPcAppFT.exe               3092 Console                    1     18,384 K
msedgewebview2.exe           11660 Console                    1     38,448 K
svchost.exe                  22724 Services                   0      4,740 K
RuntimeBroker.exe            20580 Console                    1      2,412 K
ShellHost.exe                10516 Console                    1      8,536 K
AMDInstallManager.exe         5276 Console                    1      6,464 K
RazerAppEngine.exe           19096 Console                    1     61,212 K
GameBarFTServer.exe           1000 Console                    1     19,268 K
svchost.exe                   7144 Services                   0      7,284 K
brave.exe                    21100 Console                    1    269,888 K
brave.exe                    23164 Console                    1     10,340 K
brave.exe                     8792 Console                    1    219,452 K
brave.exe                    13516 Console                    1     58,296 K
brave.exe                     9896 Console                    1     23,336 K
brave.exe                     2712 Console                    1     19,992 K
brave.exe                    18528 Console                    1    696,524 K
brave.exe                    12012 Console                    1     24,452 K
brave.exe                     5560 Console                    1     41,900 K
dllhost.exe                  18956 Console                    1     21,576 K
audiodg.exe                  18424 Services                   0     29,220 K
ChatGPT.exe                   2036 Console                    1    135,200 K
ChatGPT.exe                  17008 Console                    1     33,256 K
ChatGPT.exe                  14084 Console                    1     91,852 K
ChatGPT.exe                  11392 Console                    1     60,992 K
ChatGPT.exe                   1552 Console                    1    226,760 K
brave.exe                    20980 Console                    1    589,724 K
brave.exe                    13464 Console                    1    190,848 K
brave.exe                     3704 Console                    1    112,992 K
brave.exe                     3040 Console                    1     54,516 K
brave.exe                    17668 Console                    1     82,436 K
brave.exe                    14328 Console                    1     29,268 K
backgroundTaskHost.exe       19232 Console                    1     37,192 K
RuntimeBroker.exe            18220 Console                    1     16,424 K
cmd.exe                      14424 Console                    1     14,496 K
conhost.exe                   8672 Console                    1     21,404 K
svchost.exe                  16752 Services                   0      9,296 K
OneDrive.Sync.Service.exe     9056 Console                    1     13,404 K
WmiPrvSE.exe                  7352 Services                   0     24,416 K
steam.exe                    13560 Console                    1    118,284 K
steamwebhelper.exe            9420 Console                    1    189,024 K
SteamService.exe             21860 Services                   0     18,428 K
steamwebhelper.exe           13836 Console                    1     15,316 K
steamwebhelper.exe           17620 Console                    1    257,452 K
steamwebhelper.exe            6416 Console                    1     33,920 K
steamwebhelper.exe           18156 Console                    1     22,140 K
steamwebhelper.exe           17944 Console                    1    479,116 K
steamwebhelper.exe            9152 Console                    1     23,240 K
steamwebhelper.exe           20308 Console                    1     50,492 K
svchost.exe                  15044 Services                   0     10,592 K
SearchProtocolHost.exe        8644 Services                   0     25,504 K
svchost.exe                   1740 Services                   0     78,092 K
svchost.exe                  23284 Services                   0     11,952 K
svchost.exe                  16828 Services                   0     27,076 K
WmiPrvSE.exe                 16412 Services                   0     15,576 K
svchost.exe                  14228 Services                   0      9,504 K
SearchFilterHost.exe         18064 Services                   0     13,244 K
dfir-triage.exe              21856 Console                    1      7,280 K
python.exe                   22080 Console                    1      4,508 K
python.exe                   22904 Console                    1     27,176 K
TrustedInstaller.exe         19396 Services                   0     10,576 K
TiWorker.exe                 15824 Services                   0     18,756 K
cmd.exe                      23472 Console                    1      5,412 K
tasklist.exe                 20392 Console                    1     12,224 K
